iter	Passed	Remaining
404	4659	6844
405	4668	6830
406	4678	6817
407	4688	6803
408	4698	6789
409	4706	6772
410	4715	6758
411	4727	6746
412	4737	6732
413	4747	6719
414	4756	6704
415	4763	6686
416	4772	6672
417	4782	6658
418	4791	6643
419	4801	6630
420	4811	6617
421	4820	6602
422	4830	6588
423	4840	6575
424	4850	6562
425	4859	6548
426	4869	6534
427	4880	6522
428	4891	6510
429	4901	6497
430	4912	6485
431	4925	6475
432	4934	6461
433	4944	6448
434	4955	6436
435	4964	6422
436	4974	6408
437	4984	6395
438	4992	6380
439	5002	6366
440	5010	6350
441	5018	6335
442	5028	6322
443	5038	6309
444	5049	6297
445	5058	6283
446	5073	6276
447	5083	6263
448	5091	6248
449	5100	6233
450	5110	6221
451	5119	6207
452	5128	6192
453	5138	6180
454	5147	6165
455	5155	6150
456	5164	6136
457	5174	6123
458	5181	6107
459	5188	6091
460	5197	6076
461	5206	6063
462	5214	6047
463	5221	6032
464	5230	6017
465	5239	6004
466	5248	5989
467	5256	5975
468	5264	5960
469	5273	5946
470	5280	5930
471	5287	5914
472	5295	5899
473	5302	5883
474	5325	5885
475	5334	5872
476	5343	5858
477	5351	5844
478	5360	5830
479	5369	5817
480	5377	5802
481	5386	5789
482	5395	5775
483	5404	5761
484	5412	5747
485	5419	5732
486	5429	5719
487	5437	5704
488	5444	5689
489	5451	5674
490	5460	5660
491	5469	5647
492	5477	5632
493	5485	5618
494	5494	5605
495	5504	5592
496	5512	5578
497	5520	5564
498	5528	5550
499	5533	5533
500	5537	5515
501	5543	5498
502	5550	5484
503	5558	5470
504	5567	5457
505	5573	5441
506	5579	5425
507	5586	5410
508	5593	5395
509	5600	5381
510	5609	5367
511	5617	5354
512	5624	5339
513	5635	5328
514	5643	5314
515	5648	5298
516	5653	5281
517	5660	5267
518	5667	5252
519	5676	5239
520	5682	5224
521	5693	5213
522	5706	5204
523	5714	5190
524	5722	5177
525	5732	5165
526	5741	5152
527	5749	5140
528	5767	5135
529	5776	5122
530	5786	5111
531	5796	5099
532	5813	5093
533	5821	5080
534	5831	5068
535	5838	5054
536	5846	5040
537	5855	5028
538	5863	5014
539	5871	5001
540	5890	4997
541	5898	4983
542	5907	4971
543	5916	4959
544	5924	4946
545	5933	4933
546	5942	4921
547	5951	4909
548	5960	4896
549	5967	4882
550	5975	4869
551	5982	4855
552	5990	4842
553	5998	4829
554	6006	4815
555	6013	4802
556	6022	4789
557	6028	4775
558	6036	4762
559	6043	4748
560	6050	4734
561	6058	4721
562	6067	4709
563	6078	4698
564	6087	4686
565	6095	4674
566	6104	4661
567	6112	4649
568	6122	4637
569	6129	4624
570	6138	4611
571	6147	4599
572	6155	4586
573	6163	4574
574	6170	4560
575	6180	4549
576	6191	4538
577	6198	4525
578	6207	4513
579	6218	4503
580	6228	4491
581	6238	4480
582	6248	4469
583	6258	4457
584	6268	4446
585	6277	4434
586	6284	4421
587	6292	4409
588	6301	4397
589	6311	4385
590	6319	4373
591	6327	4360
592	6335	4348
593	6344	4336
594	6368	4335
595	6376	4322
596	6385	4310
597	6395	4299
598	6404	4287
599	6415	4276
600	6423	4264
601	6432	4252
602	6441	4241
603	6450	4229
604	6460	4218
605	6469	4206
606	6479	4194
607	6488	4183
608	6497	4171
609	6506	4159
610	6514	4147
611	6523	4135
612	6532	4124
613	6541	4112
614	6551	4101
615	6560	4089
616	6571	4079
617	6579	4066
618	6588	4055
619	6598	4044
620	6609	4033
621	6633	4031
622	6642	4019
623	6651	4007
624	6661	3996
625	6674	3987
626	6683	3976
627	6691	3963
628	6703	3953
629	6712	3942
630	6724	3932
631	6735	3922
632	6747	3911
633	6756	3900
634	6764	3888
635	6774	3877
636	6785	3866
637	6794	3855
638	6802	3842
639	6812	3832
640	6822	3820
641	6845	3817
642	6853	3804
643	6862	3793
644	6872	3782
645	6881	3771
646	6892	3760
647	6901	3748
648	6910	3737
649	6918	3725
650	6939	3720
651	6950	3709
652	6958	3697
653	6970	3687
654	6979	3676
655	6988	3664
656	6998	3653
657	7008	3642
658	7016	3630
659	7025	3619
660	7035	3608
661	7045	3597
662	7054	3585
663	7062	3573
664	7073	3563
665	7086	3553
666	7099	3544
667	7110	3534
668	7125	3525
669	7138	3515
670	7150	3506
671	7160	3495
672	7169	3483
673	7180	3472
674	7189	3461
675	7199	3450
676	7208	3439
677	7218	3428
678	7227	3416
679	7237	3406
680	7250	3396
681	7259	3385
682	7268	3373
683	7278	3362
684	7288	3351
685	7301	3342
686	7314	3332
687	7326	3322
688	7336	3311
689	7345	3300
690	7354	3288
691	7363	3277
692	7371	3265
693	7379	3253
694	7384	3240
695	7391	3228
696	7399	3216
697	7407	3205
698	7416	3193
699	7426	3182
700	7434	3170
701	7443	3159
702	7452	3148
703	7458	3136
704	7468	3125
705	7476	3113
706	7485	3101
707	7493	3090
708	7501	3078
709	7511	3068
710	7521	3057
711	7529	3045
712	7538	3034
713	7546	3022
714	7557	3012
715	7564	3000
716	7573	2989
717	7580	2977
718	7589	2965
719	7598	2954
720	7606	2943
721	7615	2932
722	7623	2920
723	7631	2909
724	7639	2897
725	7650	2887
726	7663	2877
727	7670	2866
728	7680	2855
729	7690	2844
730	7702	2834
731	7710	2823
732	7720	2812
733	7730	2801
734	7740	2790
735	7749	2779
736	7762	2770
737	7773	2759
738	7781	2748
