iter	RMSE
0	0.3636658455
1	0.356549557
2	0.3496027688
3	0.3429538239
4	0.3370530162
5	0.3309824421
6	0.3250992413
7	0.3229255084
8	0.3129360943
9	0.3068580572
10	0.3013242112111	0.3029486034112	0.2971733395113	0.2915325851414	0.2865908991515	0.281719712116	0.2690640995117	0.2646029181818	0.26001755919	0.2611265846
20	0.2572768653
2121	0.2471771442222	0.2436662
23	0.2398258044
24	0.2360730134
225	0.2365497937226	0.2330047191227	0.229407565628	028	0.228173729	029	0.224666430	030	0.22165231	0.31	0.21852232	0.32	0.21541633	0.33	0.21237934	034	0.209344435	035	0.206673836	036	0.204127737	037	0.20109973838	0.1926765461
39	0.1901209534040	0.1876099421
41	0.185330254242	0.1830063194343	0.1808526984444	0.1785194534545	0.1763758844646	0.1743214174747	0.1724236944848	0.1705954284949	0.1686343125050	0.166697453551	0.1685812423552	0.1668006907553	0.1650033329554	0.163223477255555	0.1630576355656	0.1614313427
57	0.1599009728
58	0.1583899754
59	0.1570530175
60	0.1555747444
61	0.1541733509
62	0.15294363	0.63	0.15164764	0.64	0.15036865	0.65	0.14915666	066	0.147939667	67	0.1468210968	68	0.1457852069	69	0.144692497070	0.1436311377171	0.1426015867272	0.141556863773	0.1405436987774	0.1396067865775	0.1387350403776	0.1378593039777	0.1370212347878	0.136160338779	0.135333922
80	0.1346091967
81	0.1337459395
82	0.1330249146
83	0.1322537635
84	0.1314594127
85	0.1306963434
86	0.1299372267887	0.1292484214888	0.128605768
89	0.1279702232
90	0.1273598392
91	0.126679997
92	0.1260749135
993	0.1243535252994	0.123725133695	0.1244390793
996	0.122590227
97	0.1234062946
98	0.1228851511
99	0.1224254337
100	0.1218418426
101	0.1213462818
102	0.1207741523
103	0.1203272548
104	0.1197977524
105	0.119300566
106	0.1188648686
107	0.1184731237
108	0.1181011975
109	0.1176833851
110	0.1171791208
111	0.1168474149
112	0.1165475208
113	0.1161223217
114	0.1157741041
115	0.115324112
116	0.1149426549
117	0.1146517302
118	0.1142564384
119	0.1139112534
120	0.1135913151
121	0.1132689372
122	0.1129440576
123	0.1126415418
124	0.1123769065
125	0.1120425442
126	0.1117386705
127	0.1114406034
128	0.1112314399
129	0.1109295918
130	0.110648175
131	0.1103930347
132	0.1101394264
133	0.1098335929
134	0.1096174846
135	0.1093147318
136	0.1090260909
137	0.1087346206
138	0.1084671825
139	0.1082117179
140	0.1080167835
141	0.1077478023
142	0.107469027
143	0.1072565637
144	0.1070055842
145	0.1068155445
146	0.1065500048
147	0.1063315702
148	0.1060669985
149	0.1058634651
150	0.1057226033
151	0.1055576518
152	0.1052739927
153	0.1050292141
154	0.1048367177
155	0.104590151
156	0.1043586778
157	0.1041886867
158	0.1039961828
159	0.1037962006
160	0.103489333
161	0.1032899077
162	0.1031331359
163	0.1029888285
164	0.1027953413
165	0.1026338792
166	0.1025145209
167	0.1022561057
168	0.1020928439
169	0.1019651979
170	0.1018205801
171	0.1016806407
172	0.1015275359
173	0.1013705966
174	0.1011524972
175	0.101041514
176	0.1009008141
177	0.1007472447
178	0.100602765
179	0.1004650683
180	0.1003161641
181	0.1001858066
182	0.1000234417
183	0.09989613187
184	0.09970395276
185	0.09939957745
186187	0.10102716818188	0.10091665411189	0.10075177671190	0.1005235289
191	0.1003512737
192	0.1001778249
193	0.1000542821
194	0.09983786991
195	0.09963399948
196	0.09941755115
197	0.09932472261
198	0.09919837589
199	0.09906988811
200	0.09902059471
201	0.09893171434
202	0.09884070645
203	0.09867841675
204	0.09850659767
205	0.09836866173
206	0.09814973032
207	0.09794929363
208	0.09782645508
209	0.09767499183
210	0.09750047927
211	0.09733163399
